,station,line,entries,exits
391,ALLERTON AV,25,390320.0,158246.0
392,BURKE AV,25,243840.0,103693.0
393,GUN HILL RD,25,607266.0,674287.0
394,219 ST,25,227240.0,119347.0
395,225 ST,25,271839.0,148434.0
396,233 ST,25,332973.0,104873.0
397,NEREID AV,25,232830.0,99157.0
398,WAKEFIELD/241,2,325146.0,367701.0
399,3 AV 138 ST,6,591303.0,422924.0
400,BROOK AV,6,429112.0,408921.0
401,CYPRESS AV,6,243373.0,189923.0
402,E 143/ST MARY'S,6,82891.0,96624.0
403,E 149 ST,6,354615.0,347286.0
404,LONGWOOD AV,6,223627.0,199500.0
405,HUNTS POINT AV,6,773486.0,689021.0
406,WHITLOCK AV,6,142662.0,157731.0
407,ELDER AV,6,482684.0,489132.0
408,MORISN AV/SNDVW,6,478227.0,429688.0
409,ST LAWRENCE AV,6,309713.0,296678.0
410,PARKCHESTER,6,1155920.0,1623527.0
411,CASTLE HILL AV,6,468775.0,501805.0
412,ZEREGA AV,6,194054.0,182323.0
413,WESTCHESTER SQ,6,442059.0,414703.0
414,MIDDLETOWN RD,6,145574.0,141458.0
415,BUHRE AV,6,277599.0,267162.0
416,PELHAM BAY PARK,6,530280.0,292536.0
417,5 AVE,7BDFM,1127668.0,931938.0
418,VERNON-JACKSON,7,1152074.0,853430.0
419,HUNTERS PT AV,7,467896.0,384874.0
420,COURT SQ,7,371321.0,431252.0
421,QUEENSBORO PLZ,7NQW,1242578.0,376439.0
422,39 AV,NQW,218250.0,231363.0
423,36 AV,NQW,460862.0,488992.0
424,BROADWAY,NQW,826915.0,802143.0
425,30 AV,NQW,1348503.0,966243.0
426,ASTORIA DITMARS,NQW,1354531.0,1191675.0
427,33 ST-RAWSON ST,7,772448.0,649573.0
428,40 ST LOWERY ST,7,763687.0,706497.0
429,46 ST BLISS ST,7,980908.0,781301.0
430,52 ST,7,484138.0,462250.0
431,61 ST WOODSIDE,7,1322750.0,1417759.0
432,69 ST,7,392773.0,410662.0
433,74 ST-BROADWAY,7EFMR,259983.0,385315.0
434,82 ST-JACKSON H,7,1210670.0,1425775.0
435,90 ST-ELMHURST,7,1275185.0,605759.0
436,JUNCTION BLVD,7,1979643.0,1582541.0
437,103 ST-CORONA,7,1545296.0,1148702.0
438,111 ST,7,1052698.0,553363.0
439,METS-WILLETS PT,7,481774.0,417072.0
440,FLUSHING-MAIN,7,4123666.0,3613456.0
441,34 ST-HUDSON YD,7,1673934.0,2367581.0
442,CLARK ST,23,431446.0,265596.0
443,BOROUGH HALL,2345R,2315861.0,1588851.0
444,HOYT ST,23,546102.0,478141.0
445,NEVINS ST,2345,770793.0,779914.0
446,ATL AV-BARCLAY,2345BDNQR,1608898.0,1762019.0
447,BERGEN ST,23,304673.0,240315.0
448,GRAND ARMY PLAZ,23,571180.0,236884.0
449,EASTN PKWY-MUSM,23,304049.0,296203.0
450,FRANKLIN AV,2345S,1176620.0,660060.0
451,NOSTRAND AV,3,342574.0,337521.0
452,KINGSTON AV,3,369087.0,315952.0
453,CROWN HTS-UTICA,34,1938821.0,1567337.0
454,SUTTER AV-RUTLD,3,494327.0,553711.0
455,SARATOGA AV,3,377024.0,400856.0
456,ROCKAWAY AV,3,349355.0,414471.0
457,JUNIUS ST,3,168323.0,213258.0
458,PENNSYLVANIA AV,3,331850.0,182349.0
459,VAN SICLEN AV,3,205629.0,224310.0
460,NEW LOTS AV,3,405970.0,440372.0
461,PRESIDENT ST,25,288510.0,375178.0
462,STERLING ST,25,300593.0,149967.0
463,WINTHROP ST,25,510411.0,102747.0
464,CHURCH AV,25,1094762.0,230384.0
465,BEVERLY RD,25,306303.0,63195.0
466,NEWKIRK AV,25,505146.0,337329.0
467,FLATBUSH AV-B.C,25,1409688.0,887500.0
468,MORRIS PARK,5,173444.0,177225.0
469,PELHAM PKWY,5,230220.0,165906.0
470,GUN HILL RD,5,221468.0,122221.0
471,BAYCHESTER AV,5,289946.0,42540.0
472,EASTCHSTER/DYRE,5,351573.0,349341.0
473,ST. GEORGE,1,871830.0,321.0
474,TOMPKINSVILLE,1,46928.0,1.0
475,RIT-MANHATTAN,R,780621.0,10458.0
476,RIT-ROOSEVELT,R,288998.0,5491.0
